T1,T2,T3,T4,Delay,Offeset
1520107727.809751,1520107727.809621,1520107727.809669,1520107727.809801,0.0021457672119140625,-0.1310110092163086
1520107727.810024,1520107727.809898,1520107727.809903,1520107727.810048,0.019073486328125,-0.13566017150878906
1520107727.810204,1520107727.810159,1520107727.810164,1520107727.810222,0.012874603271484375,-0.0514984130859375
1520107727.810369,1520107727.810325,1520107727.810329,1520107727.810387,0.013828277587890625,-0.051021575927734375
1520107727.810549,1520107727.810503,1520107727.810508,1520107727.810567,0.012874603271484375,-0.05245208740234375
1520107727.810696,1520107727.810646,1520107727.810658,1520107727.810712,0.004291534423828125,-0.051975250244140625
1520107727.811261,1520107727.81095,1520107727.810973,1520107727.811363,0.07915496826171875,-0.3504753112792969
1520107727.812493,1520107727.812239,1520107727.812246,1520107727.812519,0.018835067749023438,-0.26357173919677734
1520107727.812681,1520107727.812636,1520107727.812641,1520107727.812697,0.010967254638671875,-0.05054473876953125
1520107727.812825,1520107727.812784,1520107727.812788,1520107727.812841,0.011920928955078125,-0.04696846008300781
1520107727.812982,1520107727.81294,1520107727.812945,1520107727.812998,0.010967254638671875,-0.0476837158203125
1520107727.813131,1520107727.813089,1520107727.813093,1520107727.813146,0.010967254638671875,-0.0476837158203125
1520107727.81329,1520107727.813247,1520107727.813251,1520107727.813307,0.012874603271484375,-0.049591064453125
1520107727.813456,1520107727.813399,1520107727.813403,1520107727.813481,0.021219253540039062,-0.06759166717529297
1520107727.813632,1520107727.813588,1520107727.813593,1520107727.813649,0.011920928955078125,-0.050067901611328125
1520107727.813802,1520107727.813758,1520107727.813762,1520107727.813819,0.012874603271484375,-0.05054473876953125
1520107727.813959,1520107727.813917,1520107727.813921,1520107727.813976,0.013113021850585938,-0.04851818084716797
1520107727.814121,1520107727.814078,1520107727.814082,1520107727.814137,0.012159347534179688,-0.048995018005371094
1520107727.81427,1520107727.814228,1520107727.814232,1520107727.814289,0.015020370483398438,-0.04947185516357422
1520107727.814442,1520107727.814385,1520107727.814389,1520107727.814458,0.011920928955078125,-0.0629425048828125
1520107727.814591,1520107727.814548,1520107727.814553,1520107727.814607,0.010967254638671875,-0.04839897155761719
1520107727.814753,1520107727.814712,1520107727.814717,1520107727.814769,0.010967254638671875,-0.04649162292480469
1520107727.814911,1520107727.81487,1520107727.814874,1520107727.814927,0.01239776611328125,-0.04696846008300781
1520107727.815068,1520107727.815025,1520107727.815029,1520107727.815085,0.013113021850585938,-0.04947185516357422
1520107727.815214,1520107727.815174,1520107727.815178,1520107727.81523,0.012159347534179688,-0.04589557647705078
1520107727.815364,1520107727.815323,1520107727.815327,1520107727.81538,0.01239776611328125,-0.04696846008300781
1520107727.815524,1520107727.815484,1520107727.815488,1520107727.81554,0.011920928955078125,-0.04601478576660156
1520107727.81569,1520107727.81565,1520107727.815654,1520107727.815707,0.012874603271484375,-0.04649162292480469
1520107727.815837,1520107727.815795,1520107727.815799,1520107727.815854,0.013113021850585938,-0.04851818084716797
