T1,T2,T3,T4,Delay,Offeset
1519761428.050107,1519761428.079942,1519761428.08,1519761428.102196,52.03104019165039,3.8194656372070312
1519761428.102293,1519761428.132062,1519761428.132079,1519761428.154236,51.9261360168457,3.805875778198242
1519761428.154312,1519761428.184091,1519761428.184108,1519761428.206297,51.96809768676758,3.795146942138672
1519761428.206375,1519761428.236171,1519761428.236187,1519761428.258356,51.96523666381836,3.813505172729492
1519761428.258435,1519761428.288254,1519761428.288271,1519761428.310451,51.99909210205078,3.8194656372070312
1519761428.31053,1519761428.340328,1519761428.340347,1519761428.362508,51.95903778076172,3.818511962890625
1519761428.362586,1519761428.392388,1519761428.392405,1519761428.414563,51.959991455078125,3.8220882415771484
1519761428.414639,1519761428.444458,1519761428.444475,1519761428.46666,52.004098892211914,3.816962242126465
1519761428.466739,1519761428.496533,1519761428.496551,1519761428.518757,52.00004577636719,3.793954849243164
1519761428.518833,1519761428.548619,1519761428.548636,1519761428.570815,51.96523666381836,3.8034915924072266
1519761428.570892,1519761428.600713,1519761428.60073,1519761428.622911,52.001953125,3.8199424743652344
1519761428.62299,1519761428.652698,1519761428.652717,1519761428.674886,51.87702178955078,3.7696361541748047
1519761428.674965,1519761428.704746,1519761428.704764,1519761428.726945,51.96213722229004,3.800034523010254
1519761428.727022,1519761428.756832,1519761428.756849,1519761428.779041,52.001953125,3.8089752197265625
1519761428.779119,1519761428.80887,1519761428.808888,1519761428.83106,51.92303657531738,3.789544105529785
1519761428.831138,1519761428.860899,1519761428.860916,1519761428.883116,51.96118354797363,3.780484199523926
1519761428.883197,1519761428.913049,1519761428.913066,1519761428.935252,52.037954330444336,3.8329362869262695
1519761428.935329,1519761428.96514,1519761428.965156,1519761428.987352,52.00695991516113,3.807663917541504
1519761428.98743,1519761429.017214,1519761429.017232,1519761429.039406,51.95808410644531,3.804922103881836
1519761429.039482,1519761429.069242,1519761429.06926,1519761429.091459,51.95903778076172,3.780364990234375
1519761429.091533,1519761429.121236,1519761429.121254,1519761429.143445,51.894187927246094,3.7560462951660156
1519761429.143523,1519761429.173267,1519761429.173284,1519761429.195458,51.91779136657715,3.7850141525268555
1519761429.195536,1519761429.22533,1519761429.225347,1519761429.247515,51.96213722229004,3.81314754486084
1519761429.247594,1519761429.27742,1519761429.277437,1519761429.299612,52.000999450683594,3.8254261016845703
1519761429.299689,1519761429.329445,1519761429.329462,1519761429.351666,51.95975303649902,3.775954246520996
1519761429.351739,1519761429.381567,1519761429.381584,1519761429.403764,52.00815200805664,3.823995590209961
1519761429.403842,1519761429.433618,1519761429.433635,1519761429.455821,51.96213722229004,3.795027732849121
1519761429.455898,1519761429.485698,1519761429.485715,1519761429.507877,51.96213722229004,3.8188695907592773
1519761429.507956,1519761429.537752,1519761429.537783,1519761429.559935,51.94807052612305,3.821849822998047
1519761429.560012,1519761429.589843,1519761429.589861,1519761429.612032,52.001953125,3.8299560546875
1519761429.612109,1519761429.641932,1519761429.64195,1519761429.66413,52.00314521789551,3.8214921951293945
1519761429.664207,1519761429.694019,1519761429.694035,1519761429.716186,51.963090896606445,3.830552101135254
1519761429.716263,1519761429.746075,1519761429.746092,1519761429.768283,52.002668380737305,3.8105249404907227
1519761429.768368,1519761429.798161,1519761429.798179,1519761429.820379,51.99313163757324,3.7964582443237305
1519761429.820457,1519761429.850262,1519761429.85028,1519761429.872476,52.000999450683594,3.804445266723633
1519761429.872555,1519761429.902373,1519761429.902391,1519761429.924573,52.00004577636719,3.818035125732422
1519761429.92465,1519761429.954428,1519761429.954445,1519761429.97663,51.963090896606445,3.7964582443237305
1519761429.976708,1519761430.006539,1519761430.006556,1519761430.028728,52.00314521789551,3.8295984268188477
1519761430.028805,1519761430.058576,1519761430.058593,1519761430.080785,51.963090896606445,3.789544105529785
1519761430.080861,1519761430.110639,1519761430.110657,1519761430.132842,51.963090896606445,3.7964582443237305
1519761430.13292,1519761430.162675,1519761430.162692,1519761430.184862,51.924705505371094,3.7925243377685547
1519761430.184939,1519761430.21474,1519761430.214757,1519761430.236954,51.998138427734375,3.802061080932617
1519761430.237031,1519761430.266857,1519761430.266874,1519761430.28905,52.001953125,3.824949264526367
1519761430.289121,1519761430.318924,1519761430.31894,1519761430.341108,51.9711971282959,3.817439079284668
1519761430.341182,1519761430.370981,1519761430.370996,1519761430.393164,51.96690559387207,3.8155317306518555
1519761430.39324,1519761430.423031,1519761430.423048,1519761430.445223,51.966190338134766,3.8080215454101562
1519761430.445304,1519761430.475071,1519761430.475086,1519761430.49728,51.96094512939453,3.7865638732910156
1519761430.497359,1519761430.527164,1519761430.527182,1519761430.549378,52.00076103210449,3.8045644760131836
1519761430.549455,1519761430.579278,1519761430.579296,1519761430.601476,52.002906799316406,3.8216114044189453
1519761430.601571,1519761430.63135,1519761430.631368,1519761430.653572,51.98311805725098,3.787398338317871
1519761430.653649,1519761430.683463,1519761430.683481,1519761430.705668,52.000999450683594,3.813505172729492
1519761430.705744,1519761430.735546,1519761430.735564,1519761430.757766,52.004098892211914,3.800034523010254
1519761430.757842,1519761430.78766,1519761430.787678,1519761430.809863,52.002906799316406,3.816366195678711
1519761430.80994,1519761430.839762,1519761430.839779,1519761430.861959,52.001953125,3.8208961486816406
1519761430.862037,1519761430.891837,1519761430.891855,1519761430.914016,51.96094512939453,3.8194656372070312
1519761430.914094,1519761430.94389,1519761430.943908,1519761430.966114,52.0021915435791,3.795027732849121
1519761430.966192,1519761430.995993,1519761430.99601,1519761431.018212,52.002906799316406,3.7994384765625
1519761431.018289,1519761431.048095,1519761431.048113,1519761431.070306,51.99885368347168,3.806471824645996
1519761431.070384,1519761431.100212,1519761431.100229,1519761431.122404,52.00314521789551,3.8264989852905273
1519761431.122481,1519761431.152226,1519761431.152244,1519761431.17442,51.92089080810547,3.7844181060791016
1519761431.174496,1519761431.204316,1519761431.204335,1519761431.22652,52.00505256652832,3.817439079284668
1519761431.226597,1519761431.256319,1519761431.256335,1519761431.278536,51.92303657531738,3.7604570388793945
1519761431.278613,1519761431.308421,1519761431.308439,1519761431.330591,51.95975303649902,3.8279294967651367
1519761431.330668,1519761431.360489,1519761431.360507,1519761431.38269,52.00386047363281,3.818988800048828
1519761431.382769,1519761431.412558,1519761431.412575,1519761431.434747,51.96094512939453,3.8084983825683594
1519761431.434823,1519761431.46461,1519761431.464627,1519761431.486843,52.00314521789551,3.7854909896850586
1519761431.486919,1519761431.516754,1519761431.516771,1519761431.538941,52.00481414794922,3.832578659057617
1519761431.53902,1519761431.568824,1519761431.568841,1519761431.591036,51.99909210205078,3.804445266723633
1519761431.591115,1519761431.621081,1519761431.621101,1519761431.643294,52.15930938720703,3.8864612579345703
1519761431.643387,1519761431.673161,1519761431.673177,1519761431.69535,51.94687843322754,3.800511360168457
1519761431.695427,1519761431.725168,1519761431.725184,1519761431.747368,51.9251823425293,3.7784576416015625
1519761431.747445,1519761431.777253,1519761431.77727,1519761431.799464,52.0017147064209,3.806948661804199
1519761431.799541,1519761431.829361,1519761431.829378,1519761431.851563,52.00505256652832,3.817439079284668
1519761431.85164,1519761431.881447,1519761431.881465,1519761431.903662,52.004098892211914,3.8050413131713867
1519761431.90374,1519761431.933509,1519761431.933526,1519761431.955714,51.957130432128906,3.790616989135742
1519761431.955791,1519761431.985579,1519761431.985595,1519761432.007772,51.96499824523926,3.80551815032959
1519761432.007849,1519761432.037681,1519761432.037696,1519761432.059868,52.004337310791016,3.8299560546875
1519761432.059944,1519761432.089736,1519761432.089752,1519761432.111928,51.96809768676758,3.8080215454101562
1519761432.112005,1519761432.141827,1519761432.141843,1519761432.164023,52.001953125,3.821134567260742
1519761432.1641,1519761432.193863,1519761432.19388,1519761432.216079,51.96189880371094,3.782033920288086
1519761432.216156,1519761432.245956,1519761432.245973,1519761432.26814,51.96690559387207,3.8164854049682617
1519761432.268219,1519761432.298008,1519761432.298023,1519761432.320192,51.95808410644531,3.8099288940429688
1519761432.32027,1519761432.350076,1519761432.350094,1519761432.372287,51.99885368347168,3.806471824645996
1519761432.372363,1519761432.402166,1519761432.402184,1519761432.424347,51.96571350097656,3.8199424743652344
1519761432.424425,1519761432.454227,1519761432.454243,1519761432.476403,51.96213722229004,3.8210153579711914
1519761432.47648,1519761432.506283,1519761432.5063,1519761432.528497,52.00004577636719,3.8030147552490234
1519761432.528574,1519761432.558382,1519761432.5584,1519761432.580557,51.96523666381836,3.8254261016845703
1519761432.580635,1519761432.61042,1519761432.610438,1519761432.632616,51.962852478027344,3.8034915924072266
