T1,T2,T3,T4,Delay,Offeset
1520108538.465608,1520108538.465456,1520108538.465481,1520108538.465762,0.1289844512939453,-0.21636486053466797
1520108538.466105,1520108538.466031,1520108538.466041,1520108538.46613,0.015020370483398438,-0.0814199447631836
1520108538.466278,1520108538.466228,1520108538.466235,1520108538.466297,0.011920928955078125,-0.05602836608886719
1520108538.466687,1520108538.466585,1520108538.466597,1520108538.466709,0.009775161743164062,-0.10693073272705078
1520108538.469689,1520108538.469398,1520108538.469443,1520108538.469794,0.06008148193359375,-0.3209114074707031
1520108538.47021,1520108538.470132,1520108538.470143,1520108538.470399,0.17786026000976562,-0.16689300537109375
1520108538.470707,1520108538.470653,1520108538.470659,1520108538.470725,0.012159347534179688,-0.05996227264404297
1520108538.471024,1520108538.470973,1520108538.470979,1520108538.471042,0.011920928955078125,-0.05698204040527344
1520108538.471384,1520108538.471202,1520108538.471206,1520108538.471405,0.016927719116210938,-0.19061565399169922
1520108538.471939,1520108538.471506,1520108538.471511,1520108538.471968,0.024080276489257812,-0.4450082778930664
1520108538.472585,1520108538.472491,1520108538.472503,1520108538.472613,0.01621246337890625,-0.10204315185546875
1520108538.472867,1520108538.472813,1520108538.472821,1520108538.472883,0.007867813110351562,-0.05805492401123047
1520108538.472975,1520108538.47294,1520108538.472944,1520108538.472987,0.007867813110351562,-0.03898143768310547
1520108538.473065,1520108538.473037,1520108538.473039,1520108538.473076,0.009298324584960938,-0.03254413604736328
1520108538.47315,1520108538.473122,1520108538.473124,1520108538.47316,0.007867813110351562,-0.032067298889160156
1520108538.473232,1520108538.473205,1520108538.473207,1520108538.473242,0.008106231689453125,-0.030994415283203125
1520108538.473314,1520108538.473287,1520108538.473289,1520108538.473324,0.008106231689453125,-0.030994415283203125
1520108538.473394,1520108538.473367,1520108538.473369,1520108538.473404,0.008106231689453125,-0.030994415283203125
1520108538.473476,1520108538.473448,1520108538.473451,1520108538.473486,0.007152557373046875,-0.03147125244140625
1520108538.473601,1520108538.473563,1520108538.473567,1520108538.473614,0.008821487426757812,-0.042557716369628906
1520108538.473709,1520108538.473673,1520108538.473677,1520108538.473722,0.009059906005859375,-0.040531158447265625
1520108538.473824,1520108538.473787,1520108538.473791,1520108538.473838,0.010251998901367188,-0.04208087921142578
1520108538.473931,1520108538.473895,1520108538.473899,1520108538.473945,0.010013580322265625,-0.04100799560546875
1520108538.474038,1520108538.474003,1520108538.474007,1520108538.474051,0.009298324584960938,-0.039458274841308594
1520108538.474143,1520108538.47411,1520108538.474113,1520108538.474155,0.008821487426757812,-0.037550926208496094
1520108538.474242,1520108538.474208,1520108538.474212,1520108538.474255,0.009298324584960938,-0.038504600524902344
1520108538.474337,1520108538.474302,1520108538.474305,1520108538.47435,0.010013580322265625,-0.0400543212890625
1520108538.47444,1520108538.474406,1520108538.474409,1520108538.474454,0.010728836059570312,-0.039458274841308594
1520108538.474567,1520108538.47453,1520108538.474534,1520108538.474582,0.010967254638671875,-0.042438507080078125
1520108538.474678,1520108538.47464,1520108538.474644,1520108538.474692,0.010013580322265625,-0.04315376281738281
1520108538.474786,1520108538.474751,1520108538.474755,1520108538.474801,0.010967254638671875,-0.040531158447265625
1520108538.474896,1520108538.47486,1520108538.474863,1520108538.47491,0.010967254638671875,-0.041484832763671875
1520108538.475003,1520108538.474967,1520108538.474971,1520108538.475017,0.010013580322265625,-0.04100799560546875
1520108538.475111,1520108538.475075,1520108538.475079,1520108538.475124,0.008821487426757812,-0.040411949157714844
1520108538.475214,1520108538.475177,1520108538.475181,1520108538.475227,0.009059906005859375,-0.041484832763671875
1520108538.475323,1520108538.475286,1520108538.475289,1520108538.475337,0.010967254638671875,-0.042438507080078125
1520108538.475431,1520108538.475396,1520108538.475399,1520108538.475444,0.010013580322265625,-0.0400543212890625
1520108538.475557,1520108538.47552,1520108538.475523,1520108538.475571,0.010728836059570312,-0.042557716369628906
1520108538.475658,1520108538.475622,1520108538.475625,1520108538.475672,0.010967254638671875,-0.041484832763671875
1520108538.475764,1520108538.475729,1520108538.475732,1520108538.475777,0.009775161743164062,-0.03993511199951172
1520108538.475872,1520108538.475836,1520108538.47584,1520108538.475885,0.008821487426757812,-0.040411949157714844
1520108538.47598,1520108538.475943,1520108538.475947,1520108538.475993,0.009059906005859375,-0.041484832763671875
1520108538.476087,1520108538.476051,1520108538.476054,1520108538.476101,0.010967254638671875,-0.041484832763671875
1520108538.476198,1520108538.476162,1520108538.476166,1520108538.476212,0.010013580322265625,-0.04100799560546875
1520108538.476335,1520108538.476297,1520108538.476301,1520108538.47635,0.010967254638671875,-0.04363059997558594
1520108538.476505,1520108538.476468,1520108538.476472,1520108538.47652,0.011205673217773438,-0.042557716369628906
1520108538.476619,1520108538.476581,1520108538.476585,1520108538.476633,0.010251998901367188,-0.04303455352783203
1520108538.476729,1520108538.476693,1520108538.476697,1520108538.476742,0.009059906005859375,-0.040531158447265625
1520108538.476828,1520108538.476794,1520108538.476798,1520108538.47684,0.007867813110351562,-0.03802776336669922
1520108538.476932,1520108538.476898,1520108538.476901,1520108538.476945,0.009775161743164062,-0.03898143768310547
1520108538.477032,1520108538.476999,1520108538.477002,1520108538.477046,0.011205673217773438,-0.038504600524902344
1520108538.477137,1520108538.477103,1520108538.477106,1520108538.47715,0.009775161743164062,-0.03898143768310547
1520108538.477243,1520108538.477208,1520108538.477211,1520108538.477257,0.010967254638671875,-0.040531158447265625
1520108538.477351,1520108538.477314,1520108538.477318,1520108538.477364,0.009059906005859375,-0.041484832763671875
1520108538.477476,1520108538.477438,1520108538.477442,1520108538.47749,0.010013580322265625,-0.04291534423828125
1520108538.477604,1520108538.477565,1520108538.47757,1520108538.477619,0.010013580322265625,-0.0438690185546875
1520108538.477723,1520108538.477684,1520108538.477688,1520108538.477736,0.009059906005859375,-0.043392181396484375
1520108538.477832,1520108538.477796,1520108538.4778,1520108538.477846,0.010013580322265625,-0.04100799560546875
1520108538.477933,1520108538.477897,1520108538.477901,1520108538.477947,0.010013580322265625,-0.04100799560546875
1520108538.478041,1520108538.478005,1520108538.478008,1520108538.478054,0.010013580322265625,-0.04100799560546875
1520108538.478141,1520108538.478107,1520108538.47811,1520108538.478155,0.010728836059570312,-0.039458274841308594
1520108538.478251,1520108538.478214,1520108538.478217,1520108538.478264,0.010251998901367188,-0.04208087921142578
1520108538.478358,1520108538.478321,1520108538.478325,1520108538.478371,0.009059906005859375,-0.041484832763671875
