T1,T2,T3,T4,Delay,Offeset
1519364664.050872,1519364664.056849,1519364664.056864,1519364664.051313,0.4258155822753906,5.764007568359375
1519364664.052299,1519364664.058238,1519364664.058249,1519364664.052614,0.3039836883544922,5.787014961242676
1519364664.053467,1519364664.05938,1519364664.05939,1519364664.053766,0.28896331787109375,5.768537521362305
1519364664.054611,1519364664.06053,1519364664.060539,1519364664.05489,0.26988983154296875,5.784034729003906
1519364664.05569,1519364664.061615,1519364664.061625,1519364664.055991,0.29087066650390625,5.779504776000977
1519364664.056803,1519364664.062749,1519364664.06276,1519364664.057106,0.2918243408203125,5.800008773803711
1519364664.057967,1519364664.063868,1519364664.063879,1519364664.058304,0.3261566162109375,5.738019943237305
1519364664.05917,1519364664.065076,1519364664.065086,1519364664.059456,0.27632713317871094,5.767941474914551
1519364664.060399,1519364664.066364,1519364664.066379,1519364664.060777,0.3628730773925781,5.783557891845703
1519364664.061767,1519364664.067694,1519364664.067707,1519364664.062065,0.2846717834472656,5.784511566162109
1519364664.06283,1519364664.068741,1519364664.068751,1519364664.063095,0.2551078796386719,5.783557891845703
1519364664.063891,1519364664.069784,1519364664.069793,1519364664.064149,0.24890899658203125,5.768537521362305
1519364664.06527,1519364664.071233,1519364664.071248,1519364664.066441,1.1560916900634766,5.385041236877441
1519364664.067821,1519364664.073848,1519364664.073865,1519364664.070706,2.8679370880126953,4.593014717102051
1519364664.071763,1519364664.077784,1519364664.077802,1519364664.074423,2.6421546936035156,4.699945449829102
1519364664.075288,1519364664.081191,1519364664.081204,1519364664.075584,0.2830028533935547,5.761504173278809
1519364664.076347,1519364664.082264,1519364664.082274,1519364664.076605,0.247955322265625,5.792856216430664
1519364664.077366,1519364664.08326,1519364664.083268,1519364664.077596,0.2219676971435547,5.782961845397949
1519364664.078324,1519364664.084154,1519364664.084181,1519364664.0785,0.148773193359375,5.755424499511719
1519364664.079156,1519364664.085033,1519364664.085039,1519364664.07937,0.20813941955566406,5.772948265075684
1519364664.08014,1519364664.086031,1519364664.086039,1519364664.080419,0.270843505859375,5.755424499511719
1519364664.081216,1519364664.0874,1519364664.08741,1519364664.081762,0.5359649658203125,5.91588020324707
1519364664.082574,1519364664.088471,1519364664.08848,1519364664.08281,0.2269744873046875,5.783557891845703
1519364664.083512,1519364664.089401,1519364664.089408,1519364664.083729,0.21004676818847656,5.7839155197143555
1519364664.084411,1519364664.090305,1519364664.090314,1519364664.084681,0.2613067626953125,5.763530731201172
1519364664.085547,1519364664.091468,1519364664.091479,1519364664.085819,0.26106834411621094,5.790591239929199
1519364664.086722,1519364664.092633,1519364664.092642,1519364664.087031,0.2999305725097656,5.761146545410156
1519364664.087813,1519364664.093762,1519364664.093773,1519364664.088124,0.3001689910888672,5.798935890197754
1519364664.088973,1519364664.094884,1519364664.094895,1519364664.089229,0.24509429931640625,5.788326263427734
1519364664.089938,1519364664.095824,1519364664.095831,1519364664.090233,0.28824806213378906,5.7419538497924805
1519364664.09111,1519364664.097373,1519364664.097385,1519364664.091742,0.6201267242431641,5.952954292297363
1519364664.092611,1519364664.098511,1519364664.098522,1519364664.092857,0.23484230041503906,5.782485008239746
1519364664.093556,1519364664.099434,1519364664.099441,1519364664.094429,0.865936279296875,5.445003509521484
1519364664.095154,1519364664.101038,1519364664.101047,1519364664.095384,0.22077560424804688,5.7735443115234375
1519364664.096079,1519364664.101953,1519364664.10196,1519364664.096305,0.21886825561523438,5.764484405517578
1519364664.097281,1519364664.103224,1519364664.103239,1519364664.097637,0.3409385681152344,5.772590637207031
1519364664.098644,1519364664.104556,1519364664.104567,1519364664.098929,0.2739429473876953,5.775094032287598
1519364664.099761,1519364664.105702,1519364664.105713,1519364664.104656,4.884004592895508,3.4989118576049805
1519364664.105889,1519364664.11186,1519364664.111876,1519364664.106395,0.48995018005371094,5.725979804992676
1519364664.107707,1519364664.114078,1519364664.114095,1519364664.108563,0.8389949798583984,5.951523780822754
1519364664.109862,1519364664.115771,1519364664.115785,1519364664.110214,0.3380775451660156,5.739927291870117
1519364664.111267,1519364664.117205,1519364664.117218,1519364664.111601,0.3209114074707031,5.7773590087890625
1519364664.112423,1519364664.11882,1519364664.118831,1519364664.113215,0.7810592651367188,6.006479263305664
1519364664.113965,1519364664.119849,1519364664.119857,1519364664.114222,0.24890899658203125,5.759477615356445
1519364664.114914,1519364664.120794,1519364664.120801,1519364664.115868,0.9472370147705078,5.406498908996582
1519364664.116893,1519364664.122856,1519364664.122872,1519364664.121445,4.535675048828125,3.6950111389160156
1519364664.122697,1519364664.128706,1519364664.128729,1519364664.123147,0.4267692565917969,5.795478820800781
1519364664.124428,1519364664.130655,1519364664.130671,1519364664.12644,1.9960403442382812,5.228996276855469
1519364664.129662,1519364664.13395,1519364664.133971,1519364664.129774,0.09107589721679688,4.242420196533203
1519364664.131431,1519364664.137408,1519364664.137428,1519364664.13374,2.288818359375,4.83250617980957
1519364664.134819,1519364664.140764,1519364664.14078,1519364664.138512,3.676891326904297,4.1065216064453125
