T1,T2,T3,T4,Delay,Offeset
1519762042.39087,1519762042.420769,1519762042.420796,1519762042.427401,36.50403022766113,11.646866798400879
1519762042.427503,1519762042.457385,1519762042.457403,1519762042.463992,36.47112846374512,11.646389961242676
1519762042.464075,1519762042.493962,1519762042.493979,1519762042.500578,36.485910415649414,11.64400577545166
1519762042.500675,1519762042.530539,1519762042.530556,1519762042.537136,36.44418716430664,11.641979217529297
1519762042.537221,1519762042.567107,1519762042.567124,1519762042.573712,36.47422790527344,11.648893356323242
1519762042.573796,1519762042.603673,1519762042.603691,1519762042.610277,36.46278381347656,11.64555549621582
1519762042.610361,1519762042.640233,1519762042.640251,1519762042.646836,36.457061767578125,11.643409729003906
1519762042.64692,1519762042.676779,1519762042.676797,1519762042.683381,36.443233489990234,11.637449264526367
1519762042.683464,1519762042.713333,1519762042.713351,1519762042.719934,36.45181655883789,11.642932891845703
1519762042.720018,1519762042.749888,1519762042.749906,1519762042.75649,36.453962326049805,11.643052101135254
1519762042.756572,1519762042.786451,1519762042.786469,1519762042.79306,36.47017478942871,11.64400577545166
1519762042.793143,1519762042.823018,1519762042.823035,1519762042.829624,36.46397590637207,11.643052101135254
1519762042.829708,1519762042.859579,1519762042.859597,1519762042.866181,36.45491600036621,11.643528938293457
1519762042.866265,1519762042.896103,1519762042.89612,1519762042.902709,36.42678260803223,11.624455451965332
1519762042.902792,1519762042.932662,1519762042.932703,1519762042.939521,36.68808937072754,11.525988578796387
1519762042.939605,1519762042.969485,1519762042.969503,1519762042.976085,36.46206855773926,11.649012565612793
1519762042.97617,1519762043.006049,1519762043.006066,1519762043.012659,36.47184371948242,11.642932891845703
1519762043.012742,1519762043.042616,1519762043.042633,1519762043.049217,36.45777702331543,11.644959449768066
1519762043.049301,1519762043.07918,1519762043.079198,1519762043.085782,36.463260650634766,11.647462844848633
1519762043.085864,1519762043.11574,1519762043.115757,1519762043.122337,36.45610809326172,11.647939682006836
1519762043.122422,1519762043.152231,1519762043.15225,1519762043.158837,36.396026611328125,11.610984802246094
1519762043.15892,1519762043.188764,1519762043.188782,1519762043.195357,36.41915321350098,11.634469032287598
1519762043.195441,1519762043.225318,1519762043.225336,1519762043.231922,36.46278381347656,11.64555549621582
1519762043.232005,1519762043.261835,1519762043.261852,1519762043.268435,36.41319274902344,11.623620986938477
1519762043.268518,1519762043.298404,1519762043.298421,1519762043.305001,36.466121673583984,11.652946472167969
1519762043.305096,1519762043.334976,1519762043.334993,1519762043.341573,36.460161209106445,11.6499662399292
1519762043.341656,1519762043.371542,1519762043.37156,1519762043.378136,36.461830139160156,11.655092239379883
1519762043.37822,1519762043.408104,1519762043.408121,1519762043.414703,36.46564483642578,11.651039123535156
1519762043.414791,1519762043.444623,1519762043.444639,1519762043.451252,36.444902420043945,11.609435081481934
1519762043.451331,1519762043.481203,1519762043.481218,1519762043.487785,36.43918037414551,11.652588844299316
1519762043.487879,1519762043.517766,1519762043.517784,1519762043.524361,36.46373748779297,11.655092239379883
1519762043.524444,1519762043.554326,1519762043.554344,1519762043.560942,36.479949951171875,11.641979217529297
1519762043.561035,1519762043.590934,1519762043.590952,1519762043.597526,36.47327423095703,11.662483215332031
1519762043.597612,1519762043.627451,1519762043.627469,1519762043.634049,36.418914794921875,11.629581451416016
1519762043.634135,1519762043.663972,1519762043.663989,1519762043.670564,36.41176223754883,11.631011962890625
1519762043.67065,1519762043.700486,1519762043.700504,1519762043.70708,36.41176223754883,11.630058288574219
1519762043.707163,1519762043.737078,1519762043.737096,1519762043.743674,36.49282455444336,11.66844367980957
1519762043.743757,1519762043.77365,1519762043.773668,1519762043.780246,36.470890045166016,11.657476425170898
1519762043.78033,1519762043.810176,1519762043.81019,1519762043.816759,36.41510009765625,11.638402938842773
1519762043.816843,1519762043.846717,1519762043.846734,1519762043.853315,36.45491600036621,11.646389961242676
1519762043.853399,1519762043.883263,1519762043.883277,1519762043.889837,36.42416000366211,11.651992797851562
1519762043.889919,1519762043.9198,1519762043.919818,1519762043.926401,36.46397590637207,11.649012565612793
1519762043.926485,1519762043.956355,1519762043.956372,1519762043.962948,36.44609451293945,11.64698600769043
1519762043.96303,1519762043.992873,1519762043.99289,1519762043.999463,36.416053771972656,11.63482666015625
1519762043.999546,1519762044.029416,1519762044.029431,1519762044.036004,36.44299507141113,11.64853572845459
1519762044.036087,1519762044.065959,1519762044.065977,1519762044.072555,36.44990921020508,11.64698600769043
1519762044.07267,1519762044.102558,1519762044.102576,1519762044.109148,36.459922790527344,11.657953262329102
1519762044.109233,1519762044.139121,1519762044.139138,1519762044.145716,36.466121673583984,11.655092239379883
1519762044.145799,1519762044.175676,1519762044.175693,1519762044.182271,36.45515441894531,11.649608612060547
1519762044.182354,1519762044.212243,1519762044.212261,1519762044.218838,36.466121673583984,11.656045913696289
1519762044.218921,1519762044.249018,1519762044.249036,1519762044.255615,36.67593002319336,11.759042739868164
1519762044.255697,1519762044.285547,1519762044.285565,1519762044.292137,36.422014236450195,11.638998985290527
1519762044.292221,1519762044.322114,1519762044.32213,1519762044.328694,36.457061767578125,11.664390563964844
1519762044.328777,1519762044.358653,1519762044.358683,1519762044.365256,36.44895553588867,11.65151596069336
1519762044.365339,1519762044.395223,1519762044.39524,1519762044.401811,36.45467758178711,11.656522750854492
1519762044.401894,1519762044.431784,1519762044.431801,1519762044.438372,36.46063804626465,11.659502983093262
1519762044.438455,1519762044.46835,1519762044.468367,1519762044.47495,36.47780418395996,11.655926704406738
